Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Tuition fees up to date,Curricular units 1st sem (evaluations),Admission grade,Course,Age at enrollment,Previous qualification (grade),Father's occupation,Application mode,Mother's occupation,Curricular units 2nd sem (enrolled),GDP,Curricular units 1st sem (enrolled),Mother's qualification,Father's qualification,Scholarship holder,Target_binary
4,11.5,5,11.8,10,1,9,120.2,9238,20,123.0,7,1,0,6,0.32,6,34,38,0,1
6,11.833333333333334,5,13.0,7,1,8,121.0,9238,18,135.0,9,16,9,6,1.74,6,37,37,0,0
12,12.307692307692308,17,13.058823529411764,15,1,36,130.0,9003,28,130.0,2,43,4,12,-4.06,18,1,2,0,0
6,12.3,5,12.857142857142858,11,1,8,150.0,9003,20,150.0,8,44,9,6,-0.92,6,38,38,0,0
6,12.166666666666666,6,12.333333333333334,7,1,7,129.4,9238,18,129.0,10,1,4,6,-3.12,6,38,1,0,0
0,0.0,0,0.0,6,1,10,115.2,9670,19,119.0,9,18,9,6,-1.7,6,38,38,1,1
7,11.98857142857143,7,11.98857142857143,8,1,8,119.3,9500,19,132.0,9,1,9,8,1.74,8,38,38,0,0
5,14.0,4,13.0,6,1,12,146.2,9130,18,150.0,2,1,2,5,-3.12,5,5,5,0,1
0,0.0,4,12.75,5,0,9,150.2,9853,28,150.0,0,43,0,5,-3.12,6,34,34,0,1
5,14.0,6,11.666666666666666,12,1,6,118.0,8014,20,133.1,1,17,1,6,1.74,6,19,1,1,0
6,14.066666666666668,6,14.066666666666668,7,1,7,128.0,9500,18,140.0,9,1,4,7,0.32,7,1,37,1,0
5,14.4,5,13.5,5,1,8,150.0,9085,43,120.0,6,39,6,5,-3.12,5,37,37,0,0
7,11.142857142857142,7,11.75,12,1,9,103.4,9147,30,130.0,9,39,9,8,-1.7,7,3,37,0,1
0,0.0,0,0.0,6,0,5,116.9,9991,26,120.0,3,17,9,5,1.74,5,38,3,0,1
0,0.0,0,0.0,0,1,0,103.0,9085,25,133.1,5,39,2,6,1.74,6,3,1,0,1
6,13.333333333333334,6,14.0,9,1,8,126.3,9085,18,138.0,4,1,4,6,3.51,6,1,3,0,0
1,12.0,0,0.0,7,1,10,134.3,9991,24,110.0,9,39,9,5,1.74,5,37,37,0,1
6,12.666666666666666,6,13.166666666666666,6,1,6,120.1,9070,20,126.0,0,1,4,6,2.02,6,1,19,1,0
6,11.666666666666666,6,12.666666666666666,6,1,6,119.4,8014,19,126.0,10,1,9,6,-1.7,6,37,38,0,0
4,12.0,4,12.0,14,1,15,110.0,9085,28,133.1,9,39,2,6,2.02,6,3,19,0,1
0,0.0,0,0.0,0,1,0,127.9,9853,19,145.0,9,17,4,6,1.74,6,38,19,0,1
8,13.55,7,12.67,8,1,8,136.7,9500,19,143.0,5,1,2,8,2.02,7,5,1,0,0
1,10.0,0,0.0,8,1,9,150.0,9130,28,150.0,1,39,4,6,-0.92,6,1,3,0,1
3,11.25,3,11.0,8,1,8,130.1,9991,25,130.0,9,39,9,5,1.74,5,37,37,0,0
3,11.666666666666666,6,10.571428571428571,11,1,7,117.5,9254,18,121.0,8,1,5,6,-0.92,6,19,19,0,0
0,0.0,0,0.0,0,1,0,110.7,9991,50,133.1,90,39,90,5,0.32,5,37,34,0,1
5,14.571428571428571,5,15.8,7,1,7,121.5,9119,20,125.0,4,17,5,5,2.02,5,19,1,0,1
2,13.5,5,13.4,16,1,9,133.2,9254,19,143.0,1,1,1,6,1.74,6,2,37,0,0
0,0.0,0,0.0,5,1,5,118.0,9147,24,140.0,3,39,4,5,0.32,5,12,3,0,1
6,16.0,6,15.857142857142858,6,1,7,123.0,9085,20,138.0,9,16,9,6,0.79,6,37,37,1,0
5,12.6,2,12.0,6,1,14,115.9,9130,18,130.0,9,17,2,5,-3.12,5,3,19,0,0
8,14.022222222222222,7,13.7,9,1,7,130.2,9500,19,133.0,9,1,9,8,-0.92,7,37,38,1,0
0,0.0,6,12.142857142857142,6,1,9,161.1,8014,47,120.0,5,43,5,6,-0.92,6,37,37,0,1
4,14.6,5,14.4,11,1,8,130.7,9130,18,137.0,9,1,2,6,3.51,6,40,19,0,1
4,13.25,4,14.2,17,1,15,106.7,9085,20,113.0,4,1,4,6,-4.06,6,1,1,0,1
8,13.411111111111111,7,12.65,9,1,8,129.0,9500,18,144.0,3,1,2,8,-0.92,7,3,39,0,1
5,12.2,5,12.333333333333334,7,1,8,126.8,9147,20,124.0,10,17,6,5,-4.06,5,38,19,0,0
3,12.333333333333334,4,12.25,9,1,10,118.0,9254,19,125.0,5,17,7,6,-3.12,6,19,19,1,0
6,12.333333333333334,5,12.8,6,1,7,124.8,9773,20,130.0,9,1,9,6,1.79,6,1,34,1,0
4,11.0,5,12.6,5,1,5,124.4,9147,18,137.0,7,17,4,5,2.02,5,1,1,0,0
5,12.142857142857142,5,12.0,8,1,6,116.5,9085,18,128.0,9,17,9,5,1.74,5,38,37,0,0
5,11.4,5,13.4,9,0,10,130.0,9238,20,133.1,9,1,9,6,1.74,6,19,37,1,0
6,13.666666666666666,6,13.0,6,1,6,120.0,9773,22,120.0,5,15,4,6,1.79,6,19,19,0,0
6,13.333333333333334,6,13.333333333333334,7,1,7,120.4,9500,19,134.0,9,43,9,7,0.32,7,1,37,0,0
0,0.0,0,0.0,0,1,0,107.3,9853,20,108.0,5,17,5,6,-4.06,6,19,1,0,1
5,11.2,3,10.666666666666666,9,1,14,105.0,8014,26,140.0,8,39,9,6,-4.06,6,19,1,0,0
6,12.0,6,12.666666666666666,6,1,6,125.6,9238,18,141.0,10,1,9,6,-3.12,6,38,19,1,0
4,13.75,4,13.0,10,1,15,120.0,8014,36,120.0,3,7,9,9,3.51,10,37,19,0,1
5,14.4,8,13.5,12,1,13,140.0,9085,27,140.0,2,7,2,11,2.02,13,5,3,0,1
6,14.333333333333334,6,13.875,6,1,9,137.0,9254,22,152.0,9,1,9,6,-3.12,6,37,19,1,0
0,0.0,0,0.0,7,1,18,108.5,9500,36,120.0,8,39,9,7,0.79,7,37,37,0,1
4,13.125,4,12.95,11,1,14,105.0,9556,25,133.1,10,39,7,7,-4.06,7,19,1,0,1
3,11.666666666666666,6,11.166666666666666,12,1,7,122.9,9254,19,125.0,9,1,9,6,1.74,6,37,37,1,0
5,11.6,5,11.5,5,1,6,122.3,9670,19,131.0,9,1,4,5,-3.12,5,1,1,0,0
3,11.333333333333334,4,12.0,11,1,6,119.6,9773,19,122.0,3,1,4,6,2.02,6,41,1,0,1
0,0.0,0,0.0,0,1,0,128.2,9085,31,133.1,7,39,4,6,-1.7,6,38,38,0,1
6,14.166666666666666,6,13.857142857142858,6,1,7,149.0,9238,23,164.0,9,1,9,6,1.74,6,19,19,1,0
0,0.0,0,0.0,6,0,5,95.1,9119,49,133.1,0,39,0,5,1.74,5,34,34,0,1
8,11.8375,6,10.744444444444444,10,1,14,123.5,9556,22,128.0,8,43,7,8,-1.7,7,38,38,0,0
0,0.0,1,14.0,4,1,7,100.5,9556,39,133.1,99,39,99,2,2.02,3,34,34,0,1
6,11.5,6,11.666666666666666,6,1,6,118.2,9773,19,128.0,7,1,9,6,-1.7,6,1,19,0,0
4,12.8,3,11.75,19,1,11,144.9,9085,26,133.1,2,39,4,6,1.79,6,3,3,0,0
0,0.0,0,0.0,7,0,6,179.6,9003,27,180.0,8,39,4,6,3.51,6,1,1,0,1
2,13.5,4,13.333333333333334,6,1,15,152.1,9147,18,143.0,5,1,5,5,0.79,5,3,1,0,1
5,14.6,5,13.6,6,1,5,123.2,9119,18,133.0,3,17,9,5,3.51,5,3,1,0,0
6,13.285714285714286,6,13.333333333333334,7,1,6,113.4,9670,19,120.0,8,17,9,6,3.51,6,38,37,1,0
7,14.2,7,14.2,8,1,8,134.3,9500,18,147.0,4,1,4,8,-1.7,8,1,1,0,0
6,12.666666666666666,6,13.166666666666666,7,1,7,129.5,9773,18,134.0,3,17,3,6,-0.92,6,2,1,0,0
6,12.166666666666666,6,12.5,6,1,7,101.0,8014,35,140.0,9,39,9,6,-4.06,6,37,37,0,0
6,12.5,6,13.571428571428571,6,1,7,118.7,9254,21,126.0,7,16,9,6,3.51,6,38,37,1,0
0,0.0,0,0.0,6,1,13,125.0,8014,24,131.0,5,43,8,6,-0.92,6,19,37,0,1
0,0.0,0,0.0,0,1,0,116.5,9130,19,127.0,1,17,2,6,-4.06,6,3,1,0,1
4,11.25,3,11.333333333333334,5,1,7,116.5,9670,23,121.0,9,1,5,5,0.32,5,37,37,0,1
6,13.5,6,14.0,11,0,6,160.0,9085,19,160.0,4,44,5,6,1.79,6,1,1,0,1
6,13.0,6,12.666666666666666,8,1,6,127.2,9070,20,144.0,5,1,3,6,1.74,6,1,1,1,0
7,13.571428571428571,11,13.545454545454543,7,1,11,140.9,8014,50,160.0,4,43,9,7,-0.92,11,37,39,0,0
7,12.744285714285716,7,12.744285714285716,8,1,8,120.8,9500,20,129.0,5,1,5,8,1.74,8,38,38,1,0
4,12.0,5,11.666666666666666,11,1,14,140.0,9003,25,140.0,4,42,4,6,-4.06,6,19,19,0,0
2,12.5,4,10.8,10,1,8,120.8,9147,18,132.0,5,17,5,5,2.02,5,38,19,1,1
8,14.345,7,13.3,8,1,9,128.4,9500,18,142.0,10,1,7,8,-4.06,7,19,38,1,0
2,11.333333333333334,1,10.0,8,1,13,140.7,9991,25,139.0,10,39,4,5,1.79,5,1,1,0,1
4,14.6,5,11.5,9,1,10,114.4,9670,19,121.0,10,17,4,6,2.02,6,19,38,0,0
4,12.75,6,11.0,8,1,6,115.6,9254,20,125.0,5,17,5,6,-3.12,6,38,38,0,0
0,0.0,0,0.0,0,1,0,144.7,171,20,137.0,10,5,1,0,-0.92,0,3,19,0,0
5,13.2,6,13.166666666666666,7,1,6,127.2,9773,18,131.0,4,1,4,6,1.79,6,1,1,1,1
0,0.0,0,0.0,0,1,0,100.0,171,18,145.0,9,43,9,0,0.79,0,19,38,1,1
6,14.375,6,13.714285714285714,8,1,8,161.2,9070,18,164.0,3,18,5,6,0.79,6,1,1,0,0
8,13.811111111111112,7,13.025,9,1,8,109.5,9500,19,106.0,7,1,9,8,0.79,7,19,37,0,0
3,11.666666666666666,3,15.0,9,1,8,132.0,9085,18,126.0,9,1,9,5,-3.12,5,38,1,1,1
0,0.0,0,0.0,12,1,8,129.4,9085,21,135.0,4,1,4,5,1.74,5,19,1,0,1
6,12.333333333333334,5,12.2,6,1,7,130.0,8014,43,100.0,9,39,9,6,-3.12,6,37,37,1,0
4,10.75,5,13.2,8,0,11,123.7,9853,20,123.0,2,18,9,6,1.74,6,1,3,0,1
7,13.327142857142857,7,13.327142857142857,8,0,8,141.5,9500,19,140.0,9,1,9,8,1.74,8,37,37,0,1
7,12.571428571428571,9,12.333333333333334,7,1,11,100.0,9991,26,133.1,1,7,4,7,1.79,9,1,37,0,0
6,14.428571428571429,6,13.625,8,1,8,114.5,9254,22,125.0,3,17,3,6,2.02,6,1,1,1,0
2,12.0,4,10.666666666666666,11,1,16,118.7,9147,18,125.0,10,17,2,5,0.79,5,3,38,0,0
4,12.75,6,13.333333333333334,6,1,7,110.0,9773,23,135.0,3,51,5,6,2.02,6,1,42,0,0
6,12.857142857142858,5,13.0,7,1,7,114.2,9670,23,110.0,9,53,9,6,3.51,6,1,19,1,0
5,12.2,5,13.4,9,1,7,103.5,8014,22,107.0,0,1,0,6,0.32,6,19,11,0,0
5,11.2,5,11.6,7,0,16,162.4,9003,49,111.0,2,39,4,7,3.51,12,1,3,0,1
1,13.0,3,12.333333333333334,12,1,13,130.0,9130,21,130.0,2,44,9,6,0.79,6,1,3,1,1
0,0.0,0,0.0,12,1,0,126.0,9254,19,140.0,9,43,9,6,1.74,6,19,19,0,1
6,15.166666666666666,6,14.666666666666666,6,1,6,142.7,9238,18,150.0,4,1,5,6,-3.12,6,19,37,1,0
0,0.0,0,0.0,6,0,8,139.0,9238,33,133.1,9,39,9,5,-0.92,6,37,37,0,1
6,13.25,6,14.285714285714286,8,1,7,155.0,9773,18,156.0,122,1,123,6,3.51,6,3,3,0,0
6,12.491666666666667,6,12.491666666666667,11,1,11,122.0,9500,20,122.0,2,42,2,8,-1.7,8,3,3,0,0
5,11.5,4,10.75,13,1,11,113.2,9238,20,123.0,9,17,9,6,-4.06,6,1,1,1,0
0,0.0,0,0.0,0,1,1,117.9,9147,35,130.0,9,39,9,5,1.74,1,37,37,0,1
9,13.88888888888889,11,13.785714285714286,9,1,15,160.0,9085,20,160.0,9,53,4,9,3.51,11,19,37,0,0
3,11.333333333333334,4,10.75,7,1,7,127.8,9991,37,130.0,9,39,9,5,0.32,5,37,37,0,0
0,0.0,0,0.0,5,0,9,110.0,9147,32,120.0,9,39,9,5,-3.12,5,37,37,0,1
6,12.5,6,13.833333333333334,6,1,6,105.0,9773,20,133.1,5,1,4,6,-1.7,6,3,19,0,0
6,13.5,6,13.428571428571429,10,1,7,146.5,9773,18,160.0,7,1,4,6,0.79,6,1,38,1,0
3,11.0,6,12.166666666666666,9,1,6,100.0,9853,33,133.1,90,43,90,6,0.32,6,19,22,0,1
7,11.857142857142858,7,11.857142857142858,7,1,9,112.9,9853,18,122.0,3,1,2,7,-0.92,7,3,19,0,0
8,13.125555555555556,7,14.283333333333337,9,1,9,126.0,9500,19,137.0,7,1,7,8,-4.06,7,38,37,0,0
7,12.342857142857143,7,12.342857142857143,8,1,8,119.0,9500,19,129.0,5,18,5,8,1.74,8,38,37,1,0
3,10.666666666666666,5,13.4,12,1,10,126.1,9773,22,125.0,2,1,5,6,-3.12,6,37,3,0,0
6,13.0,6,13.166666666666666,6,1,6,129.7,9773,21,136.0,0,16,0,6,0.32,6,38,14,0,0
6,12.333333333333334,6,13.666666666666666,9,1,6,145.3,9853,18,140.0,9,1,9,6,0.32,6,37,37,0,0
0,0.0,0,0.0,7,1,6,125.0,9238,22,141.0,9,51,5,6,2.02,6,1,1,0,1
1,12.0,3,10.25,7,1,10,100.0,8014,38,133.1,9,39,9,6,0.79,6,37,37,0,1
8,15.2,7,14.85,8,1,8,130.0,9500,18,138.0,5,17,4,8,0.79,7,3,3,0,1
6,12.333333333333334,5,12.833333333333334,6,1,10,114.8,8014,41,133.1,7,39,9,6,0.79,6,37,1,1,0
6,15.166666666666666,6,14.5,6,0,6,137.2,9238,18,147.0,4,1,4,6,1.74,6,1,19,0,0
3,12.0,5,12.166666666666666,15,0,11,118.3,9773,18,120.0,9,1,9,6,0.79,6,19,37,1,1
4,11.6,5,11.8,8,1,6,109.5,9147,20,114.0,4,17,4,5,3.51,5,19,19,1,0
6,16.375,6,15.571428571428571,8,1,7,140.0,9085,23,140.0,5,7,5,6,1.79,6,1,19,0,0
6,13.5,6,14.5,7,1,6,123.7,9070,20,116.0,9,17,9,6,2.02,6,38,38,0,0
8,14.533333333333331,7,13.677142857142858,9,1,7,118.8,9500,18,130.0,5,1,1,8,2.02,7,3,3,0,0
4,12.2,4,11.5,12,1,11,150.0,9085,23,150.0,193,44,194,6,3.51,6,19,38,0,0
8,11.0,5,12.6,16,1,9,130.2,9773,19,133.0,4,1,2,10,3.51,6,3,1,0,0
8,15.055555555555555,7,14.842857142857142,9,1,7,130.8,9500,22,150.0,9,17,9,8,-0.92,7,38,37,1,0
0,0.0,0,0.0,0,1,0,142.8,171,18,141.0,4,1,4,0,1.79,0,3,1,0,0
5,12.375,5,12.6,10,1,7,144.1,9670,19,143.0,9,1,2,6,1.74,6,3,38,0,0
5,12.8,6,13.333333333333334,8,1,6,122.5,9670,19,126.0,3,1,4,6,3.51,6,1,3,0,1
0,0.0,0,0.0,0,1,0,156.0,171,18,149.0,3,1,9,0,1.74,0,1,1,0,0
6,11.3,6,11.3,7,1,7,129.0,9500,36,133.1,9,39,9,7,0.32,7,37,37,0,0
6,12.833333333333334,6,12.285714285714286,7,1,7,120.8,9238,19,126.0,8,1,5,6,1.79,6,38,19,0,0
8,16.327272727272728,7,14.728571428571428,11,1,7,128.6,9500,18,130.0,2,17,9,8,-0.92,7,1,3,0,0
7,12.728571428571428,7,12.385714285714286,9,1,9,131.1,9500,18,137.0,4,17,5,8,0.79,7,1,1,0,0
5,14.4,5,14.8,5,1,5,150.3,9991,47,133.1,9,39,9,5,0.32,5,37,37,0,0
5,13.4,7,13.571428571428571,9,1,7,129.8,9003,24,133.1,144,39,192,6,3.51,7,1,1,0,0
4,11.8,4,11.25,8,0,7,141.4,9991,29,121.0,9,39,9,5,1.74,5,37,19,0,1
6,12.333333333333334,6,11.666666666666666,7,1,7,137.6,9853,18,140.0,7,1,9,6,1.74,6,38,38,0,1
8,14.7375,7,14.95,8,1,8,115.0,9500,28,137.0,2,43,2,8,0.79,7,3,3,0,0
5,11.4,5,11.8,7,1,7,127.3,9853,18,143.0,5,17,9,6,1.74,6,37,37,0,1
4,10.75,5,11.4,7,1,8,130.2,9853,19,141.0,5,17,1,6,-1.7,6,3,1,0,0
5,14.6,5,16.4,5,1,5,155.1,9130,20,160.0,2,1,3,5,-1.7,5,3,3,0,0
6,16.2,6,16.142857142857142,10,1,7,140.0,9853,34,130.0,3,39,7,6,-3.12,6,37,19,1,0
6,11.5,4,11.5,11,1,10,119.7,8014,19,133.0,5,17,5,6,-3.12,6,19,1,1,1
0,0.0,0,0.0,0,1,0,141.5,171,19,138.0,3,1,4,0,0.32,0,1,1,0,0
0,0.0,3,14.4,20,1,15,110.0,9003,31,133.1,7,39,4,6,-0.92,6,1,37,0,1
3,13.0,3,13.0,7,1,6,119.7,9670,20,119.0,6,1,10,5,0.32,5,37,37,0,0
6,12.5,6,12.0,7,1,6,111.9,9853,20,114.0,9,17,9,6,0.32,6,1,19,1,0
1,10.0,2,10.0,11,0,9,109.3,9147,22,117.0,9,17,9,5,-3.12,5,37,37,0,1
3,15.333333333333334,1,13.0,8,1,10,150.0,9085,19,150.0,1,44,4,5,-1.7,5,1,19,0,0
6,11.857142857142858,6,10.666666666666666,7,1,8,113.2,9238,20,117.0,183,1,175,6,2.02,6,38,38,0,0
11,12.727272727272728,12,13.25,12,1,12,126.4,9070,20,135.0,9,43,3,12,-4.06,12,1,38,1,0
0,0.0,0,0.0,0,1,0,122.2,9773,18,125.0,5,1,4,6,2.02,6,19,1,0,1
4,12.0,4,11.0,7,1,8,132.0,9991,25,162.0,6,39,9,5,0.32,5,37,37,0,0
6,12.333333333333334,6,11.666666666666666,6,1,7,122.3,9254,19,124.0,4,17,4,6,0.79,6,1,1,0,1
6,12.428571428571429,6,12.571428571428571,7,1,8,130.0,9003,23,130.0,9,44,9,6,3.51,6,19,37,0,0
5,10.4,4,11.25,7,1,8,130.0,9147,20,158.0,7,1,9,5,0.32,5,19,37,0,0
2,13.5,3,11.0,11,1,9,135.8,9991,29,150.0,2,39,2,5,-1.7,5,3,5,0,1
6,13.625,6,13.428571428571429,12,1,9,150.0,9085,22,150.0,4,44,9,6,1.79,6,38,37,1,0
7,11.721428571428572,7,11.721428571428572,12,1,12,132.8,9500,18,135.0,7,1,7,8,-1.7,8,37,1,1,0
0,0.0,0,0.0,5,0,14,107.0,9147,19,108.0,9,1,9,5,3.51,5,3,3,0,1
4,11.333333333333334,6,11.714285714285714,11,0,8,127.7,9070,18,134.0,3,1,3,6,0.79,6,1,19,0,1
4,12.625,5,11.6,12,1,5,129.5,9147,18,134.0,8,17,4,5,1.74,5,19,38,1,0
8,14.5125,7,13.457142857142856,8,1,7,127.5,9500,18,131.0,7,18,4,8,0.79,7,19,1,0,0
0,0.0,0,0.0,0,0,3,150.0,9085,26,150.0,5,7,9,6,3.51,3,19,19,0,1
4,10.833333333333334,5,12.2,11,0,10,132.0,9070,18,125.0,4,1,4,6,0.79,6,1,1,0,0
0,0.0,0,0.0,0,1,0,128.2,9991,33,133.1,8,39,90,5,-1.7,5,37,37,0,1
6,14.1,6,15.5,10,1,8,116.0,9003,19,124.0,7,1,9,6,-0.92,6,38,19,0,0
0,0.0,0,0.0,5,1,5,114.6,9991,46,110.0,0,39,0,5,0.32,5,34,34,0,1
7,12.242857142857144,7,12.242857142857144,8,1,8,129.8,9500,18,142.0,8,1,9,8,-1.7,8,38,38,0,0
5,15.833333333333334,5,16.166666666666668,6,1,6,125.6,9130,20,134.0,5,1,5,5,-1.7,5,1,19,0,0
0,0.0,0,0.0,0,1,0,120.7,171,18,127.0,9,1,9,0,0.32,0,37,38,0,1
7,13.0,6,12.357142857142858,9,1,10,107.8,9500,20,108.0,3,1,9,8,0.79,7,19,1,1,0
6,11.333333333333334,6,11.333333333333334,6,1,9,97.0,8014,35,160.0,4,39,3,6,-4.06,6,37,37,1,0
9,13.7,11,14.615384615384617,11,1,13,145.2,9085,20,150.0,8,53,4,9,3.51,11,1,19,0,0
5,12.38,4,12.6,9,1,10,132.8,9500,35,140.0,6,39,9,7,1.79,7,37,37,0,1
6,15.285714285714286,6,13.333333333333334,7,1,8,107.5,9238,42,126.6,7,39,9,6,2.02,6,38,38,1,0
5,15.4,5,13.833333333333334,7,1,6,124.0,9991,31,130.0,9,43,9,5,-3.12,5,37,37,0,0
6,13.625,4,13.5,8,1,6,136.7,9070,20,136.0,8,1,9,6,1.74,6,37,37,0,0
6,11.857142857142858,6,13.75,7,1,8,121.9,9238,19,131.0,7,17,9,6,-0.92,6,37,37,1,0
0,0.0,0,0.0,0,1,0,117.3,171,21,125.0,9,1,9,0,1.74,0,38,19,1,0
5,13.8,4,15.75,5,1,6,165.2,9085,18,162.0,9,1,9,5,1.74,5,37,1,1,0
7,12.324285714285711,7,12.324285714285711,8,1,8,129.5,9500,18,140.0,7,1,7,8,1.74,8,19,19,0,0
2,10.666666666666666,3,11.333333333333334,12,1,8,112.2,9147,20,116.0,2,17,9,5,1.74,5,38,2,0,0
0,0.0,0,0.0,0,1,0,141.4,9070,19,148.0,8,1,4,6,-4.06,6,1,1,0,1
8,13.627777777777778,7,14.145714285714286,9,1,7,129.2,9500,18,135.0,9,17,9,8,2.02,7,19,38,1,0
7,13.225,6,11.98,11,1,10,113.2,9500,18,117.0,3,1,3,8,-0.92,7,3,1,0,0
6,13.833333333333334,6,12.833333333333334,6,1,6,135.7,9238,20,140.0,3,44,9,6,1.79,6,1,1,0,0
8,13.595,7,13.044444444444444,10,1,9,129.1,9500,18,130.0,5,1,5,8,-4.06,7,1,19,0,0
11,13.454545454545457,11,13.818181818181818,11,1,11,124.5,9070,20,130.0,7,51,5,11,2.02,11,19,19,1,0
8,12.25,9,11.9,14,1,16,101.0,9003,21,133.1,6,18,9,9,-4.06,11,1,38,0,0
7,13.075714285714286,7,13.075714285714286,8,1,8,127.3,9500,26,140.0,4,39,9,8,1.74,8,37,37,0,0
0,0.0,0,0.0,0,0,4,121.9,9991,40,100.0,2,39,9,5,-1.7,4,37,19,0,1
8,14.88181818181818,7,14.542857142857144,11,1,7,124.3,9500,18,140.0,6,1,3,8,-0.92,7,19,19,1,0
5,12.5,6,13.5,9,1,6,143.0,9238,20,140.0,102,44,191,6,0.79,6,1,19,0,0
2,10.5,1,11.0,9,0,12,120.0,9130,28,133.1,8,39,8,6,-0.92,6,2,1,0,1
6,14.666666666666666,6,14.0,7,1,7,160.0,9003,20,160.0,10,44,2,6,1.79,6,3,3,0,0
3,12.75,5,12.8,11,1,6,129.8,9773,20,135.0,4,1,2,6,-4.06,6,3,1,0,0
5,11.6,5,12.4,10,1,14,120.0,8014,58,130.0,9,39,9,6,-3.12,6,37,37,0,0
0,0.0,0,0.0,11,1,13,121.4,9238,20,145.0,8,1,4,5,-3.12,6,1,19,0,0
5,11.0,5,10.6,10,1,12,120.0,9991,27,130.0,9,39,9,5,-3.12,5,38,38,0,1
1,14.0,3,14.333333333333334,8,0,9,100.0,9003,29,140.0,9,39,9,7,-4.06,9,1,1,0,1
0,0.0,0,0.0,8,1,8,130.0,9500,30,130.0,90,7,90,8,-3.12,8,37,37,0,1
6,14.333333333333334,6,15.0,8,1,7,134.5,9003,19,131.0,2,17,9,6,1.79,6,19,1,1,0
5,15.166666666666666,6,15.0,8,1,8,150.9,9130,18,157.0,6,17,3,6,0.79,6,3,2,0,1
5,12.2,5,10.714285714285714,10,1,10,112.3,9238,22,120.0,6,1,5,6,-1.7,6,19,38,1,0
0,0.0,0,0.0,10,0,6,95.5,9853,32,110.0,9,39,9,5,1.74,6,37,37,0,1
6,14.357142857142858,6,14.357142857142858,8,1,8,130.0,9500,23,130.0,10,7,4,7,0.32,7,19,38,0,0
10,11.615384615384617,9,10.88888888888889,18,1,9,130.0,9147,21,130.0,8,7,9,10,1.74,9,37,19,0,0
12,10.666666666666666,14,10.642857142857142,12,1,17,120.5,9003,35,120.0,9,1,9,12,-4.06,17,37,37,0,1
0,0.0,3,11.75,10,1,13,100.0,9003,35,133.1,8,39,2,6,0.79,6,3,1,0,1
4,11.0,4,10.714285714285714,9,1,12,113.0,9147,18,121.0,7,17,6,5,0.79,5,38,37,1,0
4,12.25,4,11.75,8,1,8,131.7,9238,18,131.0,2,17,4,6,-3.12,6,1,3,0,1
0,0.0,0,0.0,0,1,0,135.1,9500,18,148.0,5,1,4,8,0.79,7,1,19,0,1
10,13.0,16,14.125,14,1,17,154.0,8014,37,150.0,5,44,5,11,1.79,16,1,1,0,0
6,14.333333333333334,6,14.333333333333334,7,1,7,139.0,9500,18,152.0,9,1,9,7,0.32,7,37,37,0,0
5,11.6,8,11.88888888888889,17,0,19,100.0,9003,28,130.0,6,39,6,8,-4.06,10,37,37,0,1
6,12.833333333333334,6,15.0,10,1,7,103.0,9254,62,133.1,2,39,2,6,1.74,6,2,2,0,0
4,12.75,4,12.75,6,1,7,142.3,9085,18,157.0,6,1,4,5,0.32,5,3,38,0,0
